case,arm,query,claim_index,claim,quote,paper_id,page,human_supported,human_relevant,human_notes
a1,multi_v4,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,3,"ColBERT's reported re-ranking latency subsumes gathering document representations, moving them to the GPU, tokenizing and encoding the query, and applying late interaction to compute document scores.","For ColBERT, our reported latency subsumes the entire computation from gathering the document representations, moving them to the GPU, tokenizing then encoding the query, and applying late interaction to compute document scores",2004.12832,7,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,0,Reflexion reinforces language agents through linguistic feedback rather than by updating model weights.,"We propose Reflexion, a novel framework to reinforce language agents not by updating weights, but instead through linguistic feedback.",2303.11366,1,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,1,Reflexion agents verbally reflect on task feedback signals and store reflective text in an episodic memory buffer to guide later trials.,"Reflexion agents verbally reflect on task feedback signals, then maintain their own reflective text in an episodic memory buffer to induce better decision-making in subsequent trials.",2303.11366,1,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,2,"In the reported runs, Reflexion outperformed all baseline approaches by significant margins over several learning steps.",Results Reflexion outperforms all baseline approaches by significant margins over several learning steps.,2303.11366,6,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,3,ReAct is a prompt-based paradigm that synergizes reasoning and acting in language models for general task solving.,"we introduce ReAct, a novel promptbased paradigm to synergize reasoning and acting in language models for general task solving",2210.03629,3,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,4,"ReAct's combination of reasoning and acting contributes to model interpretability, trustworthiness, and diagnosability across all domains.","the combination of reasoning and acting also contributes to model interpretability, trustworthiness, and diagnosability across all domains",2210.03629,3,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,5,"ReAct has limitations under the prompting setup, including limited support of reasoning and acting behaviors.",analyze the limitations of ReAct under the prompting setup (i.e. limited support of reasoning and acting behaviors),2210.03629,3,,,
a2,multi_v3,How does Reflexion improve an agent across trials without updating its model weights?,6,"ReAct outperforms Act on both ALFWorld and Webshop, with the best ReAct trial achieving 71% average success on ALFWorld versus 45% for the best Act trial.","Results ReAct outperforms Act on both ALFWorld (Table 3) and Webshop (Table 4). On ALFWorld, the best ReAct trial achieves an average success rate of 71%, signiﬁcantly outperforming the best Act (45%) and BUTLER (37%) trials.",2210.03629,8,,,
a2,multi_v4,How does Reflexion improve an agent across trials without updating its model weights?,0,Reflexion reinforces language agents through linguistic feedback rather than by updating model weights.,"We propose Reflexion, a novel framework to reinforce language agents not by updating weights, but instead through linguistic feedback.",2303.11366,1,,,
a2,multi_v4,How does Reflexion improve an agent across trials without updating its model weights?,1,Reflexion agents verbally reflect on task feedback signals and store reflective text in an episodic memory buffer to guide later trials.,"Reflexion agents verbally reflect on task feedback signals, then maintain their own reflective text in an episodic memory buffer to induce better decision-making in subsequent trials.",2303.11366,1,,,
a2,multi_v4,How does Reflexion improve an agent across trials without updating its model weights?,2,"In the reported runs, Reflexion outperformed baseline approaches by significant margins over several learning steps.",Results Reflexion outperforms all baseline approaches by significant margins over several learning steps.,2303.11366,6,,,
a2,multi_v4,How does Reflexion improve an agent across trials without updating its model weights?,3,"An ablation omitting internal test generation and execution yielded inferior accuracy (52% vs 60% baseline), suggesting the agent cannot determine correctness without unit tests.","First, we omit internal test generation and execution steps, which test the agent to self-reflect without guidance from current implementations. 3 shows an inferior 52% vs 60% (baseline) accuracy, which suggests that the agent is unable to determine if the current implementation is correct without unit tests.",2303.11366,8,,,
a2,single,How does Reflexion improve an agent across trials without updating its model weights?,0,"Reflexion reinforces language agents not by updating weights, but through linguistic feedback.","We propose Reflexion, a novel framework to reinforce language agents not by updating weights, but instead through linguistic feedback.",2303.11366,1,,,
a2,single,How does Reflexion improve an agent across trials without updating its model weights?,1,Reflexion agents verbally reflect on task feedback signals and maintain reflective text in an episodic memory buffer to induce better decision-making in subsequent trials.,"Concretely, Reflexion agents verbally reflect on task feedback signals, then maintain their own reflective text in an episodic memory buffer to induce better decision-making in subsequent trials.",2303.11366,1,,,
a2,single,How does Reflexion improve an agent across trials without updating its model weights?,2,"After each trial, the self-reflection loop amplifies the binary success signal, similar to the decision-making setup with a memory size of 3 experiences.","After each trial, the self-reflection loop is employed to amplify the binary signal, similar to the decision-making setup 4.1 in AlfWorld with a memory size of 3 experiences.",2303.11366,6,,,
a2,single,How does Reflexion improve an agent across trials without updating its model weights?,3,Reflexion helps the agent correct its mistakes without access to the ground truth answer.,but Reflexion helps the agent to correct its mistakes without access to the ground truth answer,2303.11366,6,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,0,ReAct is described as the first demonstration of combined reasoning and action using an LLM applied to an interactive environment within a closed-loop system.,"To our knowledge, ReAct is the ﬁrst demonstration of combined reasoning and action using an LLM applied to an interactive environment within a closed-loop system.",2210.03629,8,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,1,"ReAct substantially outperforms IM-style prompting (ReAct-IM) with 71 vs. 53 overall success rate, with consistent advantages on five out of six tasks.","ReAct substantially outperforms IM-style prompting (ReAct-IM) (71 vs. 53 overall success rate), with consistent advantages on ﬁve out of six tasks.",2210.03629,8,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,2,"Existing methods remain far from expert human performance, who perform significantly more product explorations and query re-formulations that are still challenging for prompting-based methods.","However, existing methods are still far from the performance of expert humans (Table 4), who perform signiﬁcantly more product explorations and query re-formulations that are still challenging for prompting-based methods.",2210.03629,8,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,3,Reflexion distinguishes short-term memory (action/observation/reward trajectory) from long-term memory (experience).,Action Obs / Reward Trajectory (short-term memory) Experience (long-term memory),2303.11366,4,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,4,"In Reflexion's algorithm, the Actor samples an action from the policy and receives an observation from the environment.","we sample an action or generation, at, from the current policy πθ at time t, receive an observation from the environment ot.",2303.11366,4,,,
a3,multi_v4,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,5,"Reflexion stores self-reflections in memory across trials, appending each new self-reflection to memory.",Generate self-reflection srt using Msr Append srt to mem,2303.11366,4,,,
a3,single,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,0,"ReAct's reasoning traces for decision making are flexible and sparse, allowing diverse reasoning types to be induced for different tasks.","In contrast, the reasoning traces in ReAct for decision making is ﬂexible and sparse, allowing diverse reasoning types (see Section 2) to be induced for different tasks.",2210.03629,8,,,
a3,single,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,1,Reflexion's algorithm appends each self-reflection to memory across trials.,Generate self-reflection srt using Msr Append srt to mem Increment t,2303.11366,4,,,
a3,single,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,2,"Reflexion stores self-reflection feedback in the agent's memory, which is more informative than scalar rewards.","This feedback, which is more informative than scalar rewards, is then stored in the agent’s memory (mem).",2303.11366,4,,,
a3,single,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,3,"In subsequent trials, the Reflexion agent leverages past experiences stored in memory to adapt its decision-making.","In subsequent trials, the agent can leverage its past experiences to adapt its decision-making approach at time t by choosing action a′ i.",2303.11366,4,,,
a3,multi_v3,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,0,ReAct is more likely to identify instruction-relevant products and options by reasoning to bridge the gap between noisy observations and actions.,ReAct is more likely to identify instruction-relevant products and options by reasoning to bridge the gap between noisy observations and actions,2210.03629,8,,,
a3,multi_v3,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,1,"ReAct substantially outperforms IM-style prompting (ReAct-IM) with 71 vs. 53 overall success rate, with consistent advantages on five out of six tasks.","ReAct substantially outperforms IM-style prompting (ReAct-IM) (71 vs. 53 overall success rate), with consistent advantages on ﬁve out of six tasks.",2210.03629,8,,,
a3,multi_v3,Compare how ReAct uses environment observations and how Reflexion stores feedback for subsequent trials.,2,"Existing methods are still far from the performance of expert humans, who perform significantly more product explorations and query re-formulations that remain challenging for prompting-based methods.","existing methods are still far from the performance of expert humans (Table 4), who perform signiﬁcantly more product explorations and query re-formulations that are still challenging for prompting-based methods.",2210.03629,8,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,0,"RAPTOR clusters chunks of text, generates text summaries of those clusters, and repeats this to generate a tree from the bottom up, enabling it to load chunks representing text at different levels.","our system, RAPTOR, clusters chunks of text, generates text summaries of those clusters, and then repeats, generating a tree from the bottom up. This structure enables RAPTOR to load into an LLM’s context chunks representing the text at different levels",2401.18059,1,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,1,RAPTOR uses recursive clustering and summarization to create a hierarchical tree structure capable of synthesizing information across various sections of the retrieval corpora.,"By employing recursive clustering and summarization techniques, RAPTOR creates a hierarchical tree structure that is capable of synthesizing information across various sections of the retrieval corpora.",2401.18059,9,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,2,"RAPTOR's full-tree search using all layers outperformed retrieval strategies focused only on specific layers, highlighting the importance of the full tree structure.","revealing that a full-tree search, utilizing all layers, outperformed retrieval strategies that focused only on specific layers. These findings highlight the importance of the full tree structure in RAPTOR.",2401.18059,9,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,3,"GraphRAG recursively incorporates lower-level summaries into a hierarchy, and these community summaries together provide global descriptions and insights over the corpus.","of the hierarchy recursively incorporating lower-level summaries. Together, these community summaries provide global descriptions and insights over the corpus.",2404.16130,2,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,4,"GraphRAG answers queries through map-reduce processing of community summaries, using them to provide partial answers in parallel and then combining them into a final global answer.","GraphRAG answers queries through map-reduce processing of community summaries; in the map step, the summaries are used to provide partial answers to the query independently and in parallel, then in the reduce step, the partial answers are combined and used to generate a final global answer.",2404.16130,2,,,
a4,single,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,5,GraphRAG generates a graph index from the source data and applies graph-based community detection to create a thematic partitioning of the data.,"GraphRAG contrasts with these approaches by generating a graph index from the source data, then applying graph-based community detection to create a thematic partitioning of the data.",2404.16130,3,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,0,RAPTOR builds a hierarchical tree by recursively clustering text chunks and generating summaries of those clusters from the bottom up.,"our system, RAPTOR, clusters chunks of text, generates text summaries of those clusters, and then repeats, generating a tree from the bottom up",2401.18059,1,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,1,"RAPTOR's tree structure is designed to capture both high-level and low-level details, enabling answers to questions at different levels of abstraction.",we design an indexing and retrieval system that uses a tree structure to capture both high-level and low-level details about a text,2401.18059,1,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,2,RAPTOR's full-tree search using all layers outperformed retrieval strategies focused only on specific layers.,"a full-tree search, utilizing all layers, outperformed retrieval strategies that focused only on specific layers",2401.18059,9,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,3,"In a hallucination analysis of 150 sampled RAPTOR nodes, 4% (6 nodes) contained some form of hallucination.","Out of the 150 nodes sampled, 4% (6 nodes) contained some form of hallucination.",2401.18059,17,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,4,"GraphRAG answers queries through map-reduce processing of community summaries, where the map step produces partial answers independently and in parallel and the reduce step combines them into a final global answer.","GraphRAG answers queries through map-reduce processing of community summaries; in the map step, the summaries are used to provide partial answers to the query independently and in parallel, then in the reduce step, the partial answers are combined and used to generate a final global answer.",2404.16130,2,,,
a4,multi_v3,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,5,"Community summaries generally gave a small but consistent improvement in answer comprehensiveness and diversity over source texts, except for root-level summaries.","community summaries generally provided a small but consistent improvement in answer comprehensiveness and diversity, except for root-level summaries.",2404.16130,10,,,
a4,multi_v4,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,0,"RAPTOR builds a tree by clustering chunks of text and generating summaries of those clusters, repeating this process bottom-up to capture both high-level and low-level details.","our system, RAPTOR, clusters chunks of text, generates text summaries of those clusters, and then repeats, generating a tree from the bottom up",2401.18059,1,,,
a4,multi_v4,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,1,RAPTOR's tree structure lets it load chunks representing the text at different levels into an LLM's context to answer questions at different levels.,This structure enables RAPTOR to load into an LLM’s context chunks representing the text at different levels so that it can effectively and efficiently answer questions at different levels.,2401.18059,1,,,
a4,multi_v4,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,2,"A full-tree search using all layers outperformed retrieval strategies focused only on specific layers, highlighting the importance of the full tree structure.","revealing that a full-tree search, utilizing all layers, outperformed retrieval strategies that focused only on specific layers. These findings highlight the importance of the full tree structure in RAPTOR.",2401.18059,9,,,
a4,multi_v4,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,3,"GraphRAG answers queries through map-reduce processing of community summaries, where the map step produces partial answers independently and in parallel and the reduce step combines them into a final global answer.","GraphRAG answers queries through map-reduce processing of community summaries; in the map step, the summaries are used to provide partial answers to the query independently and in parallel, then in the reduce step, the partial answers are combined and used to generate a final global answer.",2404.16130,2,,,
a4,multi_v4,Compare how RAPTOR and GraphRAG organize summaries to answer questions that need a broad view of documents.,4,"When comparing community summaries to source texts using GraphRAG, community summaries generally provided a small but consistent improvement in answer comprehensiveness and diversity, except for root-level summaries.","When comparing community summaries to source texts using GraphRAG, community summaries generally provided a small but consistent improvement in answer comprehensiveness and diversity, except for root-level summaries.",2404.16130,10,,,
n1,multi_v3,What was the exact measured p99 latency in milliseconds when ReAct was deployed at Hangzhou Airport in August 2026?,0,"The DPR reader can fit up to 100 passages per question into one batch on a single 32GB GPU, keeping latency almost identical to the single passage case at around 20ms.","While DPR processes up to 100 passages for each question, the reader is able to ﬁt all of them into one batch on a single 32GB GPU, thus the latency remains almost identical to the single passage case (around 20ms).",2004.04906,8,,,
n1,multi_v3,What was the exact measured p99 latency in milliseconds when ReAct was deployed at Hangzhou Airport in August 2026?,1,The paper notes it is not completely clear how much more inference time the reader takes compared to ORQA despite considering more passages.,"One thing worth noticing is that our reader does consider more passages compared to ORQA, although it is not completely clear how much more time it takes for inference.",2004.04906,8,,,
